"word_0";"freq";"freq_CI_bottom";"freq_CI_upper";"ipm";"ipm_CI_bottom";"ipm_CI_upper";"hits";"hits_CI_bottom";"hits_CI_upper"
"пьер";"0.003958";"0.003836826571198601";"0.0040829846040547875";"15.643338443480193";"15.164420566497567";"16.13731935845074";"6092.624602000001";"5906.10004075086";"6285.015777729012"
"премьер";"0.00378";"0.00366161522446537";"0.003902197318392365";"14.939822970276689";"14.471926782746712";"15.422787601023904";"5818.62582";"5636.393885708809";"6006.726473950417"
"пионер";"0.003597";"0.0034815523210735763";"0.0037162616278043573";"14.216545826477578";"13.76025802608337";"14.68790762715063";"5536.930443";"5359.219637322657";"5720.512132650176"
"манер";"0.003443";"0.0033300830142740084";"0.0035597321178121796";"13.607886372132972";"13.161600716819857";"14.069250704159282";"5299.875317";"5126.060055449252";"5479.563283858527"
"тренер";"0.00339";"0.0032779671461881884";"0.003505848393106035";"13.39841266381957";"12.955621393236674";"13.856284220537875";"5218.291410000001";"5045.837109503256";"5396.619042627589"
"барьер";"0.003144";"0.003036165313339468";"0.003255652116014695";"12.426138470515848";"11.999939759202725";"12.867424938112764";"4839.618936000001";"4673.626953964397";"5011.487159571625"
"курьер";"0.003139";"0.0030312523297507145";"0.0032505651380193004";"12.406376799920245";"11.980522006538216";"12.84731950141835";"4831.922341";"4666.064304979541";"5003.656677690732"
"юнкер";"0.003098";"0.0029909685180994593";"0.0032088492646805463";"12.244331101036291";"11.821306923300723";"12.682444431912668";"4768.810262";"4604.054668312342";"4939.442641258794"
"крейсер";"0.002898";"0.002794532728421641";"0.0030052865909924614";"11.453864277212128";"11.04492704954064";"11.877896731315793";"4460.946462";"4301.677324981272";"4626.094749959925"
"акционер";"0.00287";"0.0027670414970341222";"0.0029767780375087537";"11.343198921876745";"10.936272517751105";"11.765221402695357";"4417.8455300000005";"4259.359550173068";"4582.210991919937"
"менеджер";"0.002807";"0.002705195453400751";"0.0029126245651818652";"11.094201872372134";"10.691836289366297";"11.51166544515772";"4320.868433000001";"4164.15876013339";"4483.458333051184"
"фельдшер";"0.002796";"0.002694398271563273";"0.002901421831534218";"11.050726197061804";"10.649162219199681";"11.467388498734703";"4303.935924";"4147.538452984506";"4466.213752295422"
"пенсионер";"0.002657";"0.0025579966514957505";"0.0027598245195624383";"10.501351754504013";"10.110057442303457";"10.90774861145284";"4089.9705830000003";"3937.5728475837873";"4248.250319628333"
"бухгалтер";"0.002647";"0.002548186197244465";"0.0027496350506454287";"10.461828413312803";"10.071283249242029";"10.867476425796424";"4074.5773930000005";"3922.4714289561534";"4232.565476524471"
"интерьер";"0.002436";"0.0023412731455433777";"0.0025345497234954884";"9.62788591417831";"9.25349373531241";"10.017387348779451";"3749.781084";"3603.966237124687";"3901.480545821352"
"дирижер";"0.002368";"0.0022746279771128563";"0.0024651954143816027";"9.359127194078097";"8.990089762249907";"9.74327594656059";"3645.1073920000003";"3501.3780631013847";"3794.722140070475"
